Name of Student,No. of DSA questions,CGPA,Knows ML,Knows DSA,Knows Python,Knows JavaScript,Knows CSS,Was in Coding Club,Age of Candidate,Branch of Engineering,Placement Package
Janice Dominguez,442,2.35,Yes,Yes,Yes,Yes,No,No,24,Electrical Engineering,11.8
Adam Jimenez,70,9.52,No,Yes,No,No,No,Yes,22,Electrical Engineering,24.91
Christopher Rivera,177,4.34,No,No,No,Yes,No,No,19,Civil Engineering,3.65
Lauren Lee,328,1.36,Yes,Yes,No,Yes,No,Yes,23,Mechanical Engineering,10.76
Angela Joseph,39,1.07,No,No,Yes,No,Yes,No,21,Civil Engineering,2.61
John Nguyen,81,4.24,No,Yes,Yes,No,Yes,No,21,Computer Science,4.93
Sheryl Townsend,391,6.6,Yes,Yes,Yes,No,No,Yes,21,Civil Engineering,26.3
William Flores,437,7.24,Yes,No,Yes,Yes,Yes,No,22,Computer Science,22.96
Carly Rios,120,6.25,Yes,No,Yes,Yes,No,Yes,24,Computer Science,37.31
Robin White,326,3.19,Yes,Yes,Yes,Yes,No,No,19,Electrical Engineering,10.83
Marc Berg,470,8.9,No,No,Yes,Yes,Yes,Yes,18,Civil Engineering,45.25
Stephanie Santiago,242,2.4,No,Yes,No,No,No,Yes,24,Mechanical Engineering,5.31
Samantha Christian DDS,444,1.35,No,Yes,Yes,Yes,No,No,19,Computer Science,5.78
Jeffery Price,11,4.87,Yes,No,Yes,No,Yes,No,18,Computer Science,9.91
Dawn Willis,353,4.39,Yes,Yes,Yes,No,Yes,Yes,24,Electrical Engineering,11.41
Carol Curry,156,2.07,,Yes,Yes,No,No,Yes,22,Civil Engineering,10.66
Chloe Jones,183,9.91,No,No,Yes,Yes,Yes,No,21,Mechanical Engineering,42.46
Stacy Terrell,380,4.02,No,Yes,No,No,No,No,20,Civil Engineering,5.27
Daniel Johnson,444,0.85,Yes,No,No,Yes,No,Yes,22,Computer Science,10.07
Nicole Larson,127,7.11,No,No,Yes,Yes,No,No,20,Mechanical Engineering,33.26
Matthew Garcia,108,6.1,No,Yes,No,Yes,No,No,22,Computer Science,18.56
Adrian Scott,353,4.19,No,Yes,No,No,No,Yes,19,Computer Science,5.64
Hunter Williams,496,2.64,No,Yes,No,No,Yes,Yes,19,Mechanical Engineering,4.57
Mr. Jay Lee,130,9.78,Yes,No,Yes,Yes,No,No,19,Civil Engineering,35.24
Rebecca Hernandez,495,0.4,Yes,No,Yes,No,,No,25,Computer Science,10.88
Steven Nelson,322,5.96,No,No,No,No,Yes,Yes,25,Electrical Engineering,39.54
Linda Jones,402,8.21,Yes,No,No,Yes,No,No,23,Mechanical Engineering,48.43
Kevin Novak,201,6.69,Yes,No,No,Yes,No,Yes,21,Electrical Engineering,20.66
Haley Hill,158,4.53,No,No,Yes,No,No,Yes,19,Mechanical Engineering,4.83
Linda Pierce,346,7.04,No,Yes,Yes,No,No,No,18,Mechanical Engineering,27.14
David Small,96,9.42,No,No,No,No,No,No,22,Computer Science,7.39
Amanda Moreno,27,8.37,No,Yes,Yes,Yes,Yes,Yes,23,Civil Engineering,48.99
Peggy Barnes,403,4.24,No,No,No,Yes,No,Yes,20,Computer Science,2.91
David Brown,254,1.83,No,No,No,Yes,Yes,Yes,20,Electrical Engineering,4.27
Steven Marsh,29,1.35,No,Yes,Yes,No,No,Yes,19,Computer Science,5.21
Maria Fernandez,430,8.59,No,Yes,No,Yes,No,No,25,Electrical Engineering,45.1
Jaime Preston,125,9.36,No,No,No,Yes,No,Yes,22,Civil Engineering,49.29
Teresa Best,201,6.84,Yes,Yes,Yes,Yes,No,No,19,Electrical Engineering,29.41
Kathryn Gomez,450,1.65,Yes,Yes,No,No,No,Yes,24,Electrical Engineering,12.86
Charles Garcia,173,0.38,No,Yes,Yes,Yes,No,Yes,22,Civil Engineering,5.16
Samuel Lopez,19,6.78,No,No,Yes,Yes,No,Yes,25,Computer Science,49.24
Benjamin Lloyd Jr.,135,1.44,No,No,Yes,Yes,No,No,20,Computer Science,4.36
Lauren Nicholson,404,6.02,Yes,No,No,No,No,Yes,19,Civil Engineering,20.53
Joshua Spencer,260,9.25,No,Yes,Yes,Yes,No,Yes,21,Computer Science,27.48
Joseph Monroe,14,8.37,Yes,Yes,Yes,Yes,No,No,21,Mechanical Engineering,39.43
Rachel Singleton,473,7.04,,Yes,No,Yes,Yes,No,19,Mechanical Engineering,41.48
Aaron Ayala,10,2.81,Yes,Yes,No,Yes,Yes,Yes,21,Computer Science,11.9
Brandon Silva,1,5.42,Yes,No,Yes,No,No,No,18,Electrical Engineering,42.83
William Martinez,498,6.71,No,Yes,No,Yes,No,No,20,Computer Science,31.37
Susan Sanchez,246,5.15,Yes,Yes,No,Yes,No,Yes,22,Computer Science,36.3
Jessica Juarez,360,6.32,No,No,,Yes,No,No,19,Electrical Engineering,42.9
Teresa Moore,197,8.12,No,Yes,Yes,Yes,No,Yes,20,Mechanical Engineering,46.45
Mrs. Christina Phillips DDS,53,9.32,No,No,Yes,Yes,Yes,Yes,18,Mechanical Engineering,46.67
Katherine Johnson,142,5.98,No,No,Yes,Yes,Yes,No,21,Electrical Engineering,11.84
Tiffany Henry,399,4.08,Yes,Yes,Yes,Yes,Yes,Yes,25,Mechanical Engineering,11.83
Elizabeth Nicholson,280,0.58,Yes,Yes,No,Yes,Yes,No,21,Mechanical Engineering,12.35
Christopher Sharp,29,0.89,No,No,No,Yes,Yes,Yes,23,Civil Engineering,2.85
Susan Campbell,83,2.81,No,No,No,Yes,No,No,21,Mechanical Engineering,3.18
David Gilbert,283,3.32,Yes,Yes,Yes,No,Yes,No,19,Computer Science,12.25
Tammie Hernandez,194,7.36,Yes,No,No,No,Yes,Yes,20,Mechanical Engineering,32.02
Emily Raymond,338,3.16,No,Yes,Yes,Yes,No,Yes,23,Electrical Engineering,5.12
Melissa Bailey,49,1.23,Yes,Yes,Yes,Yes,No,Yes,25,Mechanical Engineering,12.73
Tyler Lambert,218,7.03,Yes,No,No,No,Yes,No,24,Mechanical Engineering,43.84
Joseph Mccoy,265,9.35,No,No,Yes,No,No,No,20,Mechanical Engineering,46.09
David Wilson,211,6.47,No,Yes,No,,No,Yes,19,Civil Engineering,19.22
Crystal Ryan,468,8.35,Yes,No,No,,No,No,21,Computer Science,17.99
Samantha Hancock,142,4.28,Yes,Yes,Yes,Yes,No,No,20,Civil Engineering,12.97
Jonathan Berry,428,2.64,Yes,No,No,No,No,No,25,Electrical Engineering,8.71
Jessica Leonard,75,0.62,No,Yes,No,No,No,No,23,Computer Science,6.9
Edward Martinez,43,7.4,Yes,No,No,No,Yes,No,23,Mechanical Engineering,47.6
Peter Peterson,150,3.83,Yes,No,No,No,Yes,Yes,25,Electrical Engineering,9.7
Katie Watson,407,7.61,No,No,Yes,No,No,Yes,24,Mechanical Engineering,24.94
Sylvia Flores,77,2.99,Yes,Yes,Yes,No,Yes,Yes,20,Computer Science,12.15
Darlene Benson,1,2.79,No,No,No,Yes,Yes,Yes,18,Computer Science,4.83
Kimberly White,105,1.12,Yes,No,No,Yes,Yes,No,25,Civil Engineering,9.89
Miranda Lewis DDS,379,6.13,No,Yes,No,Yes,Yes,No,22,Civil Engineering,43.22
Michelle Moore,175,7.95,Yes,No,No,Yes,No,Yes,18,Mechanical Engineering,51.81
Jennifer Rocha,296,5.55,No,Yes,Yes,No,Yes,No,23,Computer Science,45.55
John White,179,0.33,No,Yes,Yes,No,Yes,Yes,22,Computer Science,6.25
Ryan Spears,112,7.91,Yes,Yes,No,Yes,Yes,Yes,25,Civil Engineering,54.81
Robert Chavez,59,0.58,No,Yes,No,No,Yes,No,24,Mechanical Engineering,5.63
Regina Scott,376,7.87,Yes,Yes,No,Yes,No,No,23,Civil Engineering,29.21
Ronald Nguyen,30,6.47,No,No,Yes,No,Yes,Yes,22,Mechanical Engineering,45.73
Rachel Mora,435,5.36,No,No,Yes,Yes,Yes,No,18,Mechanical Engineering,44.66
Sue Elliott,72,7.76,No,Yes,Yes,Yes,,Yes,18,Mechanical Engineering,36.21
Christina Reilly,481,5.96,Yes,No,No,Yes,Yes,Yes,22,Computer Science,48.86
James Garcia,444,8.82,Yes,No,Yes,Yes,No,Yes,24,Computer Science,21.25
Lee Johnson,6,7.78,Yes,No,No,Yes,No,Yes,20,Civil Engineering,50.11
Hannah Pineda,9,1.56,Yes,No,Yes,No,,Yes,24,Electrical Engineering,10.77
Laura Jones,239,0.86,Yes,Yes,Yes,Yes,Yes,Yes,21,Mechanical Engineering,10.94
John Mercado,69,4.89,,Yes,No,No,Yes,No,18,Civil Engineering,10.9
Paula Marshall,340,1.01,No,No,No,Yes,No,Yes,19,Mechanical Engineering,3.42
Isabella Herrera,482,2.64,No,Yes,No,Yes,Yes,Yes,25,Electrical Engineering,4.7
Darren Goodwin,383,1.53,Yes,Yes,No,No,No,No,18,Civil Engineering,11.18
Susan Barrett,215,2.37,Yes,Yes,No,No,No,No,18,Mechanical Engineering,10.62
Thomas Reed,90,1.42,Yes,Yes,No,Yes,Yes,No,21,Computer Science,10.93
Michael Bryant,395,9.4,Yes,No,No,No,Yes,No,20,Electrical Engineering,50.7
Tracy Burgess,89,2.96,Yes,No,Yes,Yes,Yes,Yes,19,Electrical Engineering,9.78
David Smith,262,0.79,No,No,Yes,Yes,Yes,No,19,Electrical Engineering,3.63
Meghan Carpenter,333,1.36,Yes,Yes,Yes,Yes,No,Yes,19,Computer Science,11.17
Paul Gregory,294,6.84,Yes,No,Yes,No,Yes,No,24,Computer Science,22.1
Nathan Barton,53,3.7,Yes,No,Yes,No,No,No,21,Computer Science,9.41
Alexander Zhang,300,9.33,Yes,Yes,No,Yes,Yes,No,24,Civil Engineering,33.36
Krista Williams,393,1.62,Yes,No,No,Yes,Yes,Yes,23,Computer Science,9.14
Ryan Frazier,256,9.15,Yes,No,Yes,No,No,No,25,Electrical Engineering,34.2
Jessica Macias,471,1.3,Yes,No,No,Yes,Yes,No,25,Electrical Engineering,10.03
Barbara Daniel,460,3.17,Yes,No,No,No,Yes,Yes,25,Computer Science,8.9
Shannon Odonnell,360,8.62,Yes,Yes,No,Yes,Yes,Yes,20,Computer Science,40.26
Daniel Allen,251,0.58,No,No,No,No,Yes,No,25,Mechanical Engineering,3.29
Christina Smith,157,2.49,No,Yes,No,No,No,No,18,Mechanical Engineering,4.97
Katie Mason,410,5.63,No,Yes,Yes,No,Yes,Yes,20,Computer Science,32.83
Jerry Jones,373,0.62,Yes,No,Yes,No,Yes,No,25,Electrical Engineering,9.74
Susan Jones,479,5.92,No,No,Yes,No,Yes,Yes,20,Electrical Engineering,28.02
Tonya Peterson,89,9.85,No,No,Yes,Yes,No,No,25,Computer Science,20.31
Matthew Smith,54,6.18,Yes,No,Yes,No,Yes,Yes,20,Computer Science,43.51
John Williams,204,9.7,Yes,No,Yes,No,Yes,Yes,25,Civil Engineering,24.45
Richard Savage,428,8.82,No,No,,Yes,Yes,No,21,Computer Science,21.35
Stephanie Miller,324,9.53,Yes,Yes,Yes,No,Yes,Yes,25,Electrical Engineering,50.06
Tamara Huffman,304,6.37,Yes,Yes,Yes,Yes,No,Yes,22,Civil Engineering,42.72
Steven Pruitt,478,4.68,Yes,No,Yes,No,Yes,Yes,22,Computer Science,10.17
Lori Key,496,0.35,No,No,Yes,Yes,Yes,Yes,22,Computer Science,4.99
Melissa Cortez,449,3.41,No,No,Yes,Yes,Yes,No,18,Mechanical Engineering,3.53
George Watts,234,2.26,Yes,Yes,No,No,Yes,No,20,Civil Engineering,12.78
Taylor Johnson,316,3.95,Yes,No,No,No,No,No,21,Computer Science,10.82
Nicole Kim,281,0.07,Yes,No,Yes,Yes,No,No,20,Mechanical Engineering,9.39
Wanda Baker,137,6.33,No,No,No,Yes,Yes,Yes,20,Computer Science,11.88
Larry Norman,469,2.55,Yes,Yes,No,Yes,No,Yes,18,Mechanical Engineering,11.19
Mikayla Dennis,406,4.6,Yes,No,No,Yes,No,Yes,23,Computer Science,9.37
Michael Davis,473,5.75,Yes,No,Yes,No,Yes,Yes,18,Mechanical Engineering,48.98
Austin Thomas,176,9.85,Yes,No,No,No,Yes,Yes,21,Electrical Engineering,21.16
Meagan Hall,38,2.48,No,No,Yes,No,Yes,Yes,20,Civil Engineering,2.69
Ashley Waters,144,4.84,No,Yes,Yes,No,Yes,No,20,Mechanical Engineering,5.32
Heidi Wagner,320,7.36,Yes,No,No,No,Yes,No,22,Electrical Engineering,23.29
Nathan Rollins DDS,481,1.01,Yes,No,Yes,No,Yes,No,19,Electrical Engineering,10.53
Melissa Rodriguez,9,0.4,Yes,No,No,No,Yes,Yes,23,Civil Engineering,10.54
Yvonne Eaton,193,3.85,No,No,No,Yes,No,Yes,18,Computer Science,3.82
Jenna Johnston,177,9.42,Yes,Yes,No,Yes,,Yes,24,Civil Engineering,35.72
Teresa Parrish,95,3.02,Yes,Yes,No,Yes,Yes,No,22,Electrical Engineering,12.47
John Edwards,18,6.97,Yes,Yes,Yes,Yes,No,No,23,Civil Engineering,19.95
Vanessa Smith MD,180,8.12,No,Yes,Yes,Yes,No,Yes,23,Computer Science,24.97
Victoria Garrett,117,6.95,Yes,No,No,No,No,No,20,Computer Science,19.2
Eric Ward,444,0.15,Yes,Yes,No,Yes,Yes,No,18,Electrical Engineering,10.65
Kathryn Roberts,32,3.31,Yes,No,No,Yes,No,No,23,Civil Engineering,9.79
Molly Bryant,73,1.71,Yes,Yes,Yes,,No,No,23,Computer Science,10.57
Victoria Jordan,173,2.74,Yes,No,Yes,No,No,Yes,23,Civil Engineering,10.7
Sara Thompson,164,6.23,Yes,No,No,No,No,No,25,Civil Engineering,33.06
Christopher Gonzales,183,1.83,No,No,No,Yes,No,Yes,19,Mechanical Engineering,3.55
Ms. Megan Glenn,241,3.02,Yes,No,No,No,No,No,18,Mechanical Engineering,8.58
Mrs. Karen Mayer PhD,467,2,Yes,No,Yes,No,No,No,18,Mechanical Engineering,9.1
Jennifer Fry,358,8.33,No,Yes,Yes,Yes,Yes,Yes,23,Computer Science,38.69
Jacqueline Wilson,99,0.19,No,Yes,Yes,No,No,No,24,Computer Science,5.65
Martha Davidson,5,7.62,No,Yes,No,No,No,No,18,Electrical Engineering,21.79
Melissa Turner,347,5.24,Yes,No,No,No,Yes,Yes,18,Mechanical Engineering,40.88
Annette Warren,257,0.4,Yes,Yes,Yes,No,Yes,No,18,Mechanical Engineering,12.61
Cheryl Smith,402,8.32,Yes,Yes,No,No,No,Yes,25,Civil Engineering,53.23
Charles Charles,180,9.14,Yes,Yes,Yes,No,No,Yes,22,Computer Science,41.68
Julie Johnson,197,4.49,No,No,Yes,Yes,No,Yes,22,Electrical Engineering,4.93
Melissa Thompson,199,0.04,Yes,Yes,Yes,Yes,No,Yes,18,Civil Engineering,12.4
Katherine Foster,167,8.94,Yes,No,Yes,No,No,No,24,Mechanical Engineering,23.1
Thomas Mann,199,3.78,Yes,No,No,No,No,Yes,25,Mechanical Engineering,9.16
Jamie Hicks,407,1.79,No,Yes,No,Yes,Yes,Yes,20,Electrical Engineering,5.3
Henry Kelley,104,1.38,No,Yes,Yes,No,No,Yes,18,Civil Engineering,4.69
Christopher Thomas,118,3.33,Yes,Yes,Yes,No,Yes,Yes,24,Electrical Engineering,11.1
John Sullivan,499,2.95,No,Yes,No,No,Yes,No,19,Mechanical Engineering,5.39
Amy Hobbs,4,4.73,No,No,No,Yes,No,Yes,22,Mechanical Engineering,2.81
Darren Hernandez,141,5.59,No,No,No,Yes,No,Yes,23,Mechanical Engineering,27.53
Christina Green,413,3.6,Yes,Yes,Yes,No,No,Yes,19,Mechanical Engineering,11.59
Bonnie Gillespie,81,1.76,No,Yes,No,No,Yes,Yes,19,Civil Engineering,6.81
Michael Owens,403,3.48,Yes,No,Yes,No,Yes,Yes,24,Mechanical Engineering,9.35
Brandi Gibson,192,8.43,No,No,Yes,No,Yes,No,23,Civil Engineering,44.23
Jesse Houston,423,6,No,Yes,Yes,No,No,Yes,20,Mechanical Engineering,38.01
Derrick Barr,424,5.91,No,No,Yes,Yes,No,Yes,19,Civil Engineering,21.03
Douglas Holland,226,6.59,No,Yes,No,No,Yes,No,23,Electrical Engineering,47.24
Sharon Gonzalez,255,3.82,No,No,Yes,Yes,Yes,Yes,19,Civil Engineering,2.63
Makayla Mccarthy,246,6.16,No,Yes,Yes,No,,Yes,23,Civil Engineering,14.42
Megan Jackson,282,9.86,,Yes,Yes,No,Yes,No,18,Civil Engineering,17.03
Michael Cabrera,306,2.26,Yes,Yes,No,No,No,No,22,Electrical Engineering,10.66
Annette West,223,9.74,No,Yes,No,Yes,No,No,25,Civil Engineering,12.01
Francisco Rice,361,7.06,Yes,No,Yes,Yes,Yes,Yes,23,Electrical Engineering,48.68
Jeffrey Avila MD,214,0.43,No,Yes,Yes,No,Yes,Yes,24,Civil Engineering,6.24
Patricia Smith,349,8.75,No,Yes,Yes,Yes,No,No,22,Electrical Engineering,38.45
Nicholas Medina,285,5.63,Yes,No,No,Yes,Yes,Yes,23,Electrical Engineering,35.91
Lisa Mclean,422,4.69,No,Yes,No,No,No,Yes,23,Civil Engineering,5.35
Heather Daniel,52,2.84,,Yes,Yes,Yes,Yes,Yes,24,Civil Engineering,11.94
Amber Robertson,427,1.76,No,No,Yes,No,No,Yes,21,Civil Engineering,4.63
Ronald Jackson,179,8.11,No,No,No,No,Yes,Yes,24,Electrical Engineering,17.68
Dr. Linda Williams,464,6.47,Yes,Yes,No,No,No,No,22,Computer Science,18.77
Alexandra Duarte,312,1.84,No,Yes,No,No,Yes,Yes,20,Civil Engineering,5.61
Kathryn Day,426,0.81,No,No,No,No,Yes,Yes,19,Mechanical Engineering,2.64
Katie Ashley,226,5.31,No,Yes,No,Yes,Yes,Yes,18,Computer Science,30.42
Michele Scott,406,5.12,No,Yes,,Yes,No,Yes,19,Mechanical Engineering,18.47
Jason Thomas,77,1.67,Yes,Yes,Yes,No,No,No,21,Civil Engineering,11.27
Matthew Mathews,348,6.9,No,No,No,No,Yes,Yes,18,Mechanical Engineering,46.39
Justin Jones,367,1.84,No,Yes,No,Yes,No,No,22,Civil Engineering,6
Darrell Davis,209,1.05,No,Yes,No,No,,No,20,Mechanical Engineering,6.46
Alan Yoder,176,1.69,,No,Yes,Yes,Yes,No,18,Computer Science,4.99
Christopher Decker,123,6.32,Yes,No,No,Yes,Yes,Yes,21,Computer Science,54.32
Jamie Nash,417,0.54,Yes,No,No,Yes,Yes,No,20,Computer Science,10.04
Harold Williams,425,6.25,Yes,No,Yes,Yes,Yes,Yes,21,Civil Engineering,48.57
Denise Smith,141,0.71,No,No,Yes,Yes,No,Yes,25,Computer Science,4.27
Michael Carson,423,9.26,No,No,Yes,No,No,Yes,21,Computer Science,10.49
Cameron Martinez,59,7.1,No,Yes,No,Yes,Yes,Yes,22,Electrical Engineering,29.08
Benjamin Ibarra,188,2.62,Yes,No,Yes,No,No,Yes,19,Computer Science,9.57
Amber Perkins,33,6.29,,Yes,No,Yes,No,No,18,Civil Engineering,43.39
April Collins,277,9.23,No,Yes,No,No,Yes,Yes,25,Civil Engineering,41.42
Zachary Martin,413,1.81,Yes,No,No,No,Yes,No,22,Computer Science,9.54
Jonathan Soto,217,0.18,No,No,Yes,Yes,Yes,No,19,Computer Science,3.32
Susan Saunders,249,9.5,,Yes,Yes,Yes,No,No,20,Electrical Engineering,14.53
Alex Williams,146,0.47,Yes,No,Yes,No,Yes,No,18,Civil Engineering,10.62
Larry Lewis,323,4.25,Yes,No,Yes,Yes,No,Yes,19,Civil Engineering,10.57
Hannah Richardson,287,7.84,Yes,Yes,No,Yes,Yes,Yes,25,Mechanical Engineering,25.92
Kelsey Meyer,28,4.63,Yes,No,No,No,No,No,25,Mechanical Engineering,8.52
Jennifer Martinez,14,2.98,Yes,Yes,No,Yes,No,No,23,Mechanical Engineering,10.69
Kimberly Butler,59,3.5,Yes,No,No,Yes,Yes,Yes,20,Computer Science,9.76
Austin Griffin,420,9.28,Yes,No,Yes,No,No,Yes,23,Computer Science,49.97
Dylan Banks,390,2.57,No,No,No,No,No,Yes,19,Civil Engineering,4.06
Joseph Perez,348,8.09,Yes,No,Yes,Yes,Yes,Yes,25,Mechanical Engineering,27.47
Carlos King,255,0.15,No,No,No,No,No,No,21,Civil Engineering,4.58
Emily Ferguson,38,0.8,No,Yes,Yes,Yes,No,No,18,Civil Engineering,6.66
Katrina Meyers,242,2.8,Yes,Yes,Yes,No,No,No,19,Electrical Engineering,11.31
Angela Ward,429,3.55,No,No,No,No,No,No,25,Electrical Engineering,4.11
Steve Hawkins,430,8.47,No,Yes,No,Yes,No,Yes,19,Electrical Engineering,27.33
Jonathan Lamb,62,4.88,No,No,No,Yes,Yes,Yes,24,Computer Science,3.21
Tracy Moore,67,8.88,Yes,Yes,No,Yes,No,No,24,Computer Science,31.8
Barbara Martinez,393,2.64,No,Yes,No,No,Yes,Yes,23,Electrical Engineering,4.66
Candice Winters,478,0.67,No,No,No,No,No,No,25,Electrical Engineering,3.22
David Martinez,45,4.25,No,No,Yes,Yes,No,Yes,23,Electrical Engineering,3.5
Mathew Owens,137,3.46,No,Yes,No,No,No,Yes,20,Electrical Engineering,5.38
Mike Marshall,125,9,Yes,No,No,No,No,No,25,Electrical Engineering,12.15
Taylor Levine,142,4.55,No,No,No,Yes,,No,24,Computer Science,3.08
Daniel Garcia,276,0,No,No,No,No,No,Yes,25,Electrical Engineering,2.8
Mrs. Kathryn Miranda,362,7.07,No,No,Yes,No,Yes,No,25,Computer Science,39.5
Tina Mitchell,333,7.29,Yes,Yes,Yes,No,Yes,Yes,18,Electrical Engineering,24.78
Ashley Schmidt,414,5.89,No,Yes,No,Yes,No,Yes,21,Civil Engineering,45.9
Brenda Murphy,438,9.89,No,No,No,No,Yes,Yes,18,Civil Engineering,32.02
Adam Black,84,4.06,Yes,Yes,No,No,Yes,No,20,Mechanical Engineering,11.58
Angela Rice,122,1.38,No,No,No,No,Yes,No,24,Computer Science,2.91
Jeffrey Clark PhD,22,7.85,Yes,Yes,No,No,No,No,22,Electrical Engineering,24.91
Phillip Miller,42,6.15,No,No,No,No,Yes,Yes,22,Computer Science,44.5
George Edwards,421,3.76,No,Yes,No,No,Yes,Yes,19,Civil Engineering,6.43
Anna Bennett,495,4.78,Yes,No,No,Yes,Yes,Yes,25,Electrical Engineering,8.66
Barbara Terry,66,4.03,Yes,No,Yes,No,Yes,Yes,18,Mechanical Engineering,8.68
Nicholas Campbell,72,8.03,Yes,No,Yes,Yes,Yes,No,24,Civil Engineering,49.19
Christy Mcpherson,124,7.59,No,No,No,No,No,No,25,Computer Science,16.19
Douglas Mccarthy,132,2.43,Yes,Yes,No,No,Yes,Yes,19,Electrical Engineering,12.16
Brittney Allen,129,1.7,No,Yes,No,No,Yes,Yes,20,Computer Science,5.71
Morgan Mcintosh,376,3.69,Yes,No,,No,No,No,18,Civil Engineering,10.87
Ariana Stark,105,1.16,Yes,No,Yes,No,Yes,No,25,Electrical Engineering,9.8
Ashley Nguyen,492,6.86,No,No,No,Yes,No,No,24,Mechanical Engineering,15.75
Philip Martinez,157,4.26,Yes,No,Yes,Yes,Yes,No,22,Civil Engineering,10.38
Anthony Perkins,208,7.18,Yes,Yes,No,Yes,No,Yes,22,Computer Science,30.04
Deborah Mcconnell,418,7.69,Yes,Yes,Yes,Yes,No,Yes,18,Electrical Engineering,33.65
Cynthia Rogers,71,6.79,Yes,Yes,Yes,Yes,No,No,23,Computer Science,35.41
Joseph Patton,341,2.01,No,Yes,No,Yes,No,Yes,24,Civil Engineering,5.28
Erika Scott,81,7.27,Yes,Yes,Yes,No,Yes,Yes,20,Mechanical Engineering,51.66
Julie Frey,235,1.69,No,Yes,No,Yes,No,No,18,Civil Engineering,6.54
Richard Ibarra,271,7.96,No,Yes,Yes,No,No,Yes,21,Mechanical Engineering,34.97
Samantha Johnson,111,8.93,Yes,Yes,No,Yes,Yes,No,21,Civil Engineering,28.68
Michael Miranda DDS,484,7.76,Yes,Yes,Yes,Yes,No,Yes,25,Civil Engineering,50.22
Stephanie Barnes,173,9.36,Yes,Yes,No,No,Yes,No,22,Mechanical Engineering,55.83
David Wyatt,68,8.03,,Yes,No,Yes,Yes,No,20,Civil Engineering,24.73
Kristen Martinez,236,5.17,No,Yes,No,Yes,Yes,No,22,Computer Science,23
Joseph Bates,382,5.09,Yes,Yes,No,No,Yes,Yes,22,Mechanical Engineering,55.55
Sandra Jackson,256,1.24,No,No,No,Yes,No,Yes,20,Mechanical Engineering,4.59
Linda Miller,134,3.79,No,No,Yes,No,Yes,No,20,Mechanical Engineering,4.52
Lisa Calderon,421,7.49,Yes,Yes,No,No,Yes,Yes,21,Electrical Engineering,45.5
Tyler Gordon,378,2.84,Yes,Yes,Yes,Yes,No,No,20,Computer Science,12.65
Mrs. Alicia Prince,132,2.28,No,No,Yes,No,Yes,Yes,22,Civil Engineering,3.86
Mark Ward,440,1.87,Yes,Yes,Yes,Yes,No,Yes,21,Civil Engineering,12.72
Pamela Gomez,187,1.46,No,No,Yes,No,Yes,No,19,Mechanical Engineering,3.79
Jeffrey Bartlett,266,9.62,No,Yes,Yes,No,No,No,18,Computer Science,51.49
Courtney Patrick,270,4.7,Yes,No,Yes,Yes,Yes,Yes,23,Civil Engineering,8.58
Austin James,383,3.58,No,No,No,Yes,No,Yes,22,Civil Engineering,3.84
Leslie Anderson,59,4.33,Yes,Yes,Yes,No,Yes,Yes,23,Mechanical Engineering,12.66
Eric Marsh,471,0.51,Yes,Yes,Yes,No,No,No,19,Mechanical Engineering,12.33
Javier Hutchinson,119,1.04,Yes,Yes,Yes,Yes,Yes,No,25,Civil Engineering,12.35
Mark Phillips,474,0.44,No,Yes,Yes,Yes,Yes,Yes,18,Computer Science,5.34
Cassandra Sanders,309,8.38,Yes,Yes,,Yes,No,No,21,Civil Engineering,54.92
Donna Reynolds,409,1.7,Yes,No,Yes,No,No,Yes,18,Mechanical Engineering,8.87
Richard Garcia,241,2.23,Yes,No,No,No,No,Yes,19,Civil Engineering,8.94
Jill West,396,5.32,Yes,No,No,No,No,Yes,19,Civil Engineering,25.42
Chad Martinez,412,4.93,No,No,Yes,Yes,No,Yes,20,Mechanical Engineering,3.14
Matthew Estrada,230,8.58,No,No,No,Yes,No,No,19,Computer Science,41.39
April Colon,271,0.35,Yes,Yes,Yes,No,No,Yes,25,Civil Engineering,11.28
Kevin Leonard,421,8.06,No,Yes,No,Yes,No,Yes,22,Computer Science,45.32
Mark Bowen,114,4.41,Yes,No,Yes,Yes,Yes,No,23,Civil Engineering,9.5
Jason Kennedy,446,2.72,Yes,Yes,No,Yes,No,No,18,Electrical Engineering,11.46
Shawna Harris,358,4.4,No,Yes,No,Yes,No,No,19,Mechanical Engineering,5.76
Linda Ball,488,5.73,Yes,Yes,No,Yes,Yes,No,24,Computer Science,55.16
Ashley Fox,290,9.65,Yes,No,Yes,No,Yes,No,25,Electrical Engineering,49.55
Cindy Hayes,63,3.54,No,No,Yes,No,Yes,No,21,Electrical Engineering,3.02
Louis Nicholson,7,2.01,Yes,Yes,Yes,Yes,Yes,Yes,18,Electrical Engineering,11.29
Carolyn Curtis,156,2.82,Yes,Yes,No,Yes,No,No,24,Computer Science,12.74
Neil Wright,479,7.63,No,Yes,No,Yes,No,Yes,22,Electrical Engineering,49.1
Joshua Brown,383,9.84,No,No,,No,Yes,No,18,Mechanical Engineering,18.43
Anita Spencer,407,7.07,No,Yes,Yes,No,No,No,18,Civil Engineering,33.89
Karen Bentley,360,5.05,No,Yes,Yes,No,No,No,19,Electrical Engineering,14.5
Steven Carter,462,8.51,Yes,Yes,Yes,Yes,Yes,No,20,Computer Science,35.2
Alejandra Craig,371,5.99,No,Yes,Yes,No,No,No,20,Mechanical Engineering,39.73
